Evidence_ID,Control_ID,Control_Type,Domain_Group,Control_Question,Evidence_Text
E001,C1,Access Management,Identity & Access,Is multi-factor authentication required for user login?,We use MFA and you cannot access the system until you are registered for it.
E002,C2,Access Management,Identity & Access,Are quarterly access reviews performed to ensure terminated employees have access revoked?,"Yes, we perform a quarterly access review for user accounts. Managers review the active user list, terminated employees are checked against HR records, and IT disables accounts or revokes access when someone no longer needs it. The review is documented as part of our periodic access review process."
E003,C3,Access Management,Identity & Access,Are privileged accounts restricted to authorized personnel?,Access is restricted to authorized personnel and then elevated access requires management approval.
E004,C4,Access Management,Identity & Access,Are password policies enforced for complexity expiration and reuse restrictions?,"Yes, we have a strict password policy that makes sure the password is unique and resets every 90 days."
E005,C5,Change Management,Change Control,Is user acceptance testing completed before deployment?,"Yes, user acceptance testing is completed before deployment. The business team completes UAT, QA testing is documented, test cases are reviewed, and test results are attached to the change ticket before the release is approved."
E006,C6,Change Management,Change Control,Are production changes approved before deployment?,"This is a clear gap for us. Some production changes are made directly when the team is under pressure, and there is no approval before deployment in those cases. We may create a change ticket afterward, but the change approval is not always documented before the production move."
E007,C7,Physical Security,Infrastructure Security,Are physical security controls used for restricted areas?,"Yes, physical security controls are in place for restricted areas. The data center uses keycard access, badge access, monitored cameras, and surveillance. Access to the server room is restricted to approved personnel, and facility security monitors entry logs."
E008,C8,Change Management,Change Control,Is segregation of duties enforced for production changes?,"This is a hard issue for smaller releases. The same person sometimes develops a change and approves their own change for production. There is not always independent approval or approval separation, so segregation of duties is not consistently enforced."
E009,C9,Operations,IT Operations,Are automated backups performed for financial databases?,"Yes, automated backup jobs run for the financial databases on a scheduled backup cycle. We have daily backup processing, backup retention, a recovery plan, and periodic restore testing to confirm that data restoration works if needed."
E010,C10,Operations,IT Operations,Are job scheduling logs reviewed for automated batch processing?,"Yes, job monitoring is performed for overnight batch processing. The team reviews job logs, monitors scheduled jobs, checks failed jobs, and confirms that automated payment and financial processes complete successfully."
